neighbourhood_id,schools,restaurants,transit_stops,parks,grocery
VAN_DT,37,751,160,22,59
VAN_KITS,6,99,48,13,17
BBY_METRO,6,213,87,13,28
SUR_CC,8,102,66,7,23
RMD_CC,6,165,89,10,18
NVAN_CENT,27,99,71,24,11
VIC_DT,6,229,96,39,19
KEL_DT,4,81,54,13,6
