neighbourhood_id,category,name,lat,lon
VAN_DT,restaurants,Caffè Artigiano,49.2859592,-123.115236
VAN_DT,restaurants,Subway,49.284191,-123.115916
VAN_DT,restaurants,Uncle Fatih's Pizza,49.2792588,-123.107425
VAN_DT,restaurants,Freshslice Pizza,49.2793502,-123.107835
VAN_DT,restaurants,NiNNiN Ramen House,49.2791132,-123.107422
VAN_DT,restaurants,Cactus Club Cafe,49.285504,-123.118815
VAN_DT,restaurants,Red Robin,49.2845287,-123.125253
VAN_DT,restaurants,Costco Food Court,49.2787678,-123.109262
VAN_DT,restaurants,Tim Hortons,49.287353,-123.1144993
VAN_DT,restaurants,Rodney's Oyster House,49.2743433,-123.123269
VAN_DT,restaurants,Eat Bar & Patio Haraheri,49.2799957,-123.125224
VAN_DT,restaurants,McDonald's,49.2871649,-123.1141682
VAN_DT,restaurants,HellCrust Pizza,49.2844631,-123.113434
VAN_DT,restaurants,Subway,49.2890878,-123.1146885
VAN_DT,restaurants,Tim Hortons,49.2850471,-123.112065
VAN_DT,restaurants,Blenz Coffee,49.2859301,-123.118281
VAN_DT,restaurants,Blenz Coffee,49.2796325,-123.10785
VAN_DT,restaurants,Elysian Coffee Roasters,49.2798648,-123.127675
VAN_DT,restaurants,Al Porto Ristorante,49.284626,-123.1092825
VAN_DT,restaurants,MoMo Sushi,49.2847089,-123.110228
VAN_DT,restaurants,Nuba,49.2827611,-123.109648
VAN_DT,restaurants,Bean Around The World,49.2825279,-123.1092922
VAN_DT,restaurants,McDonald's,49.2847682,-123.1210687
VAN_DT,restaurants,Tim Hortons,49.2848477,-123.120957
VAN_DT,restaurants,Starbucks,49.2875534,-123.1200025
VAN_DT,restaurants,Meat & Bread,49.2872474,-123.118925
VAN_DT,restaurants,Stepho's Greek Restaurant,49.2807022,-123.131961
VAN_DT,restaurants,Denny's,49.2802104,-123.131197
VAN_DT,restaurants,Subway,49.2797668,-123.130488
VAN_DT,restaurants,Joey,49.2827572,-123.123139
VAN_DT,restaurants,Tim Hortons,49.2811674,-123.1242959
VAN_DT,restaurants,Earls,49.2815936,-123.123754
VAN_DT,restaurants,Cafe Bellagio,49.283029,-123.121574
VAN_DT,restaurants,One Saigon,49.2808226,-123.1247973
VAN_DT,restaurants,Brioche Ristorante,49.2840979,-123.1069482
VAN_DT,restaurants,Revolver,49.2831716,-123.109459
VAN_DT,restaurants,Starbucks,49.285758,-123.1116688
VAN_DT,restaurants,Rogue Kitchen & Wetbar,49.2853939,-123.1114016
VAN_DT,restaurants,Burger King,49.2811705,-123.120411
VAN_DT,restaurants,Starbucks,49.2746904,-123.1221583
VAN_DT,restaurants,Din Tai Fung,49.285769,-123.124704
VAN_DT,restaurants,Ho Ho's Yummy Food,49.2820786,-123.1340707
VAN_DT,restaurants,Davie Dosa Company,49.2821447,-123.1337057
VAN_DT,restaurants,Halove,49.282131,-123.134155
VAN_DT,restaurants,Downtown Sushi Bar,49.2819972,-123.1334555
VAN_DT,restaurants,Melriches Coffee House,49.2822483,-123.1343416
VAN_DT,restaurants,Al Basha,49.2818284,-123.1336764
VAN_DT,restaurants,Blenz Coffee,49.2819635,-123.133384
VAN_DT,restaurants,Hapa Izakaya,49.2874308,-123.114904
VAN_DT,restaurants,SushiGo,49.2879174,-123.1237682
VAN_DT,restaurants,Blenz Coffee,49.2810287,-123.118654
VAN_DT,restaurants,Taki's Taverna,49.2805112,-123.1316527
VAN_DT,restaurants,JJ Bean,49.2874217,-123.116942
VAN_DT,restaurants,Thai Basil,49.280291,-123.1315739
VAN_DT,restaurants,Stack House,49.280456,-123.131581
VAN_DT,restaurants,Mean Poutine,49.2793561,-123.123413
VAN_DT,restaurants,Megabite,49.2792751,-123.123342
VAN_DT,restaurants,Moulin Rouge,49.2792354,-123.122725
VAN_DT,restaurants,Guu Original Thurlow,49.2840032,-123.125448
VAN_DT,restaurants,Jugo Juice,49.2848411,-123.1248987
VAN_DT,restaurants,Joey,49.2866651,-123.11834
VAN_DT,restaurants,Tokyo Joe's,49.279737,-123.126662
VAN_DT,restaurants,Starbucks,49.280139,-123.127256
VAN_DT,restaurants,Yolks,49.2787068,-123.128947
VAN_DT,restaurants,Riley's Fish & Steak,49.2878057,-123.1153441
VAN_DT,restaurants,1931 Gallery Bistro,49.2826802,-123.1205496
VAN_DT,restaurants,Coast Restaurant,49.2847156,-123.1231168
VAN_DT,restaurants,McDonald's,49.2788264,-123.1155638
VAN_DT,restaurants,Pho Quynh Express,49.2843286,-123.117811
VAN_DT,restaurants,Breka Bakery & Café,49.278414,-123.1278962
VAN_DT,restaurants,The Charles Bar,49.2830756,-123.108384
VAN_DT,restaurants,Oshi Nori,49.2761172,-123.1200154
VAN_DT,restaurants,Earls,49.2859532,-123.1264184
VAN_DT,restaurants,Waves Coffee House,49.278383,-123.1149456
VAN_DT,restaurants,Donair Drive,49.2796131,-123.123935
VAN_DT,restaurants,Chipotle,49.2815417,-123.121179
VAN_DT,restaurants,Sushi Star,49.2795339,-123.123812
VAN_DT,restaurants,The Keg,49.2833798,-123.116411
VAN_DT,restaurants,Number e Food,49.2777096,-123.130968
VAN_DT,restaurants,Mahony's Tavern,49.2893622,-123.1144269
VAN_DT,restaurants,The Templeton,49.2784378,-123.124545
VAN_DT,restaurants,Fritz's European Fry House/Poutine,49.2772949,-123.1266675
VAN_DT,restaurants,Freshslice Pizza,49.2776678,-123.1266852
VAN_DT,restaurants,Subway,49.280495,-123.121965
VAN_DT,restaurants,White Spot,49.2819109,-123.1135011
VAN_DT,restaurants,Easy Grab Easy Go Grab N Go,49.2879677,-123.12142
VAN_DT,restaurants,Chambar,49.2801513,-123.109872
VAN_DT,restaurants,Marugame Udon,49.2803275,-123.110493
VAN_DT,restaurants,Subway,49.2792636,-123.107846
VAN_DT,restaurants,Tim Hortons,49.2809701,-123.107834
VAN_DT,restaurants,Starbucks,49.2877059,-123.1133343
VAN_DT,restaurants,Deville Coffee,49.2853345,-123.112222
VAN_DT,restaurants,Caffè Artigiano,49.2876852,-123.1205021
VAN_DT,restaurants,A&W,49.2858989,-123.1122871
VAN_DT,restaurants,Joyeaux Café and Restaurant,49.2847774,-123.116885
VAN_DT,restaurants,Jam Cafe,49.2803078,-123.109681
VAN_DT,restaurants,Starbucks,49.277133,-123.1296758
VAN_DT,restaurants,JJ Bean,49.2865106,-123.125896
VAN_DT,restaurants,Sushi Bar Maumi,49.2813956,-123.133708
VAN_DT,restaurants,Joe Fortes,49.2849273,-123.124611
VAN_DT,restaurants,Breka Bakery & Café,49.285665,-123.12728
VAN_DT,restaurants,Cafe Rico,49.2868188,-123.128521
VAN_DT,restaurants,Tim Hortons,49.2870463,-123.1282973
VAN_DT,restaurants,Jang Mo Jib,49.2857079,-123.126991
VAN_DT,restaurants,Brass Fish,49.2873114,-123.117128
VAN_DT,restaurants,Banana Leaf,49.2799326,-123.1302522
VAN_DT,restaurants,Osaka Sushi,49.277574,-123.13185
VAN_DT,restaurants,Gotham Steakhouse & Cocktail Bar,49.2828492,-123.115863
VAN_DT,restaurants,The Keg,49.2861606,-123.124206
VAN_DT,restaurants,Kosoo,49.2890693,-123.1325917
VAN_DT,restaurants,Ju,49.2784435,-123.114328
VAN_DT,restaurants,Donair Dude,49.2822367,-123.109203
VAN_DT,restaurants,Tim Hortons,49.2832205,-123.1155257
VAN_DT,restaurants,Subway,49.2766701,-123.1272113
VAN_DT,restaurants,911 Pizza,49.2801028,-123.1181207
VAN_DT,restaurants,Subway,49.2823756,-123.108485
VAN_DT,restaurants,Shizen Ya,49.2809398,-123.1246266
VAN_DT,restaurants,Quantum Coffee,49.2850193,-123.1145937
VAN_DT,restaurants,Osteria Autostrada,49.282596,-123.1119502
VAN_DT,restaurants,Maple Leaf Delicatessen Coffe Shop,49.2787028,-123.130204
VAN_DT,restaurants,Olivier's Cafe et Viennoiseries,49.2820156,-123.1229819
VAN_DT,restaurants,Today Japanses Restaurant,49.2807667,-123.1248876
VAN_DT,restaurants,Cafe Medina,49.2805588,-123.116906
VAN_DT,restaurants,Beyond Coffee,49.2809406,-123.126909
VAN_DT,restaurants,Uncle Fatih's Pizza,49.2789073,-123.122176
VAN_DT,restaurants,Meat & Bread,49.2810223,-123.118995
VAN_DT,restaurants,McDonald's,49.280548,-123.121366
VAN_DT,restaurants,Aladdin Cafe,49.280963,-123.118915
VAN_DT,restaurants,Five Guys,49.28109,-123.119096
VAN_DT,restaurants,Charisma Social Club House,49.2799621,-123.1087565
VAN_DT,restaurants,Pizzeria Ludica,49.2800421,-123.1085984
VAN_DT,restaurants,Mamalee,49.2796305,-123.10861
VAN_DT,restaurants,Tsuki Sushi Bar,49.2808958,-123.107845
VAN_DT,restaurants,Pappa Roti,49.2800088,-123.1086905
VAN_DT,restaurants,Taishoken,49.2807869,-123.107836
VAN_DT,restaurants,A&W,49.2831516,-123.1154178
VAN_DT,restaurants,Guu Toramasa,49.2810728,-123.118583
VAN_DT,restaurants,Starbucks,49.2820489,-123.118486
VAN_DT,restaurants,Hungry Guys,49.2792876,-123.1226649
VAN_DT,restaurants,The Butcher & Bullock,49.2861746,-123.116976
VAN_DT,restaurants,Numero Uno Pizza,49.2772057,-123.126521
VAN_DT,restaurants,Starbucks,49.2789586,-123.1212246
VAN_DT,restaurants,Nero Belgian Waffle Bar,49.2783848,-123.122044
VAN_DT,restaurants,Sushi Howe,49.277516,-123.127083
VAN_DT,restaurants,Taylight,49.2818966,-123.124145
VAN_DT,restaurants,Pizza Garden,49.2801553,-123.1209295
VAN_DT,restaurants,Pacifico Pizzeria & Ristorante,49.2818326,-123.124023
VAN_DT,restaurants,Donair King,49.2794471,-123.130019
